"country_name","country","capital"
"CuraAao","<http://dbpedia.org/resource/Cura%C3%A7ao>","<http://dbpedia.org/resource/Willemstad>"
"Somaliland","<http://dbpedia.org/resource/Somaliland>","<http://dbpedia.org/resource/Hargeisa>"
"Ross Dependency","<http://dbpedia.org/resource/Ross_Dependency>","""Scott Base  McMurdo Station""@en"
"Vojvodina","<http://dbpedia.org/resource/Vojvodina>","<http://dbpedia.org/resource/Novi_Sad>"
"List of Zambians","<http://dbpedia.org/resource/List_of_Zambians>","<http://dbpedia.org/resource/Lusaka>"
"Southwestern Somalia","<http://dbpedia.org/resource/Southwestern_Somalia>","<http://dbpedia.org/resource/Barawa>"
"Azores","<http://dbpedia.org/resource/Azores>","<http://dbpedia.org/resource/Ponta_Delgada>"
"Cocos Keeling Islands","<http://dbpedia.org/resource/Cocos_(Keeling)_Islands>","<http://dbpedia.org/resource/West_Island,_Cocos_(Keeling)_Islands>"
"French Southern and Antarctic Lands","<http://dbpedia.org/resource/French_Southern_and_Antarctic_Lands>","<http://dbpedia.org/resource/Port-aux-Fran%C3%A7ais>"
"Geography of Saint Pierre and Miquelon","<http://dbpedia.org/resource/Geography_of_Saint_Pierre_and_Miquelon>","<http://dbpedia.org/resource/Saint-Pierre,_Saint_Pierre_and_Miquelon>"
"Adjara","<http://dbpedia.org/resource/Adjara>","<http://dbpedia.org/resource/Batumi>"
"Kerguelen Islands","<http://dbpedia.org/resource/Kerguelen_Islands>","<http://dbpedia.org/resource/Port-aux-Fran%C3%A7ais>"
"United Nations Interim Administration Mission in Kosovo","<http://dbpedia.org/resource/United_Nations_Interim_Administration_Mission_in_Kosovo>","""Pristina""@en"
"United States Virgin Islands","<http://dbpedia.org/resource/United_States_Virgin_Islands>","<http://dbpedia.org/resource/Charlotte_Amalie,_United_States_Virgin_Islands>"
"Ascension Island","<http://dbpedia.org/resource/Ascension_Island>","<http://dbpedia.org/resource/Georgetown,_Ascension_Island>"
"Carriacou and Petite Martinique","<http://dbpedia.org/resource/Carriacou_and_Petite_Martinique>","<http://dbpedia.org/resource/Hillsborough,_Carriacou>"
"MohACli","<http://dbpedia.org/resource/Moh%C3%A9li>","<http://dbpedia.org/resource/Fomboni>"
"Antigua and Barbuda","<http://dbpedia.org/resource/Antigua_and_Barbuda>","<http://dbpedia.org/resource/St._John's,_Antigua_and_Barbuda>"
"Burma","<http://dbpedia.org/resource/Burma>","<http://dbpedia.org/resource/Naypyidaw>"
"Costa Rica","<http://dbpedia.org/resource/Costa_Rica>","<http://dbpedia.org/resource/San_Jos%C3%A9,_Costa_Rica>"
"Democratic Republic of the Congo","<http://dbpedia.org/resource/Democratic_Republic_of_the_Congo>","<http://dbpedia.org/resource/Kinshasa>"
"Federated States of Micronesia","<http://dbpedia.org/resource/Federated_States_of_Micronesia>","<http://dbpedia.org/resource/Palikir>"
"Georgia country","<http://dbpedia.org/resource/Georgia_(country)>","20"
"Republic of the Congo","<http://dbpedia.org/resource/Republic_of_the_Congo>","<http://dbpedia.org/resource/Brazzaville>"
"SAo TomAC and PrAncipe","<http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe>","<http://dbpedia.org/resource/S%C3%A3o_Tom%C3%A9>"
"Somalia","<http://dbpedia.org/resource/Somalia>","<http://dbpedia.org/resource/Mogadishu>"
"The Bahamas","<http://dbpedia.org/resource/The_Bahamas>","<http://dbpedia.org/resource/Nassau,_Bahamas>"
"The Gambia","<http://dbpedia.org/resource/The_Gambia>","<http://dbpedia.org/resource/Banjul>"
"Abkhazia","<http://dbpedia.org/resource/Abkhazia>","<http://dbpedia.org/resource/Sukhumi>"
"Anjouan","<http://dbpedia.org/resource/Anjouan>","<http://dbpedia.org/resource/Moroni,_Comoros>"
"British Indian Ocean Territory","<http://dbpedia.org/resource/British_Indian_Ocean_Territory>","<http://dbpedia.org/resource/Diego_Garcia>"
"England","<http://dbpedia.org/resource/England>","<http://dbpedia.org/resource/London>"
"Falkland Islands","<http://dbpedia.org/resource/Falkland_Islands>","<http://dbpedia.org/resource/Stanley,_Falkland_Islands>"
