"userID","Date","DateString","Expense","Amount","Country","City","Provider","Products","GCategories","SCategories","Entrie_methods"
"user_49","1325466063.456","2012-01-02 01:01:03","1","17","United Kindom","Glasgow","Stabucks","","Markets","Pack of Cigarettes (Marlboro)","bs"
"user_17","1325466108.33966","2012-01-02 01:01:48","1","16","United Kindom","Glasgow","Train","Beer::Dipers::Milk::Bannas::Cheese","Restaurants","Coke/Pepsi (0.33 liter bottle)","bs::r"
"user_27","1325466741.26102","2012-01-02 01:12:21","1","17","United Kindom","Glasgow","O2club","Nachos::Sandwich::Bread::Juice::Beef meat","Salaries And Financing","Average Monthly Disposable Salary (Net After Tax)","h"
"user_4","1325468936.9721","2012-01-02 01:48:56","1","16","United Kindom","Glasgow","drink","Cleaning","Utilities (Monthly)","1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)","bs::r"
"user_12","1325470373.1369","2012-01-02 02:12:53","1","16","United Kindom","Glasgow","Train","","Restaurants","Meal, Inexpensive Restaurant","bs"
"user_14","1325471951.00773","2012-01-02 02:39:11","1","14","United Kindom","Edinburg","coffee","","Sports And Leisure","Tennis Court Rent (1 Hour on Weekend)","bs"
"user_5","1325473155.9569","2012-01-02 02:59:15","1","23","United Kindom","Edinburg","check","Mocca Coffee","Utilities (Monthly)","Basic (Electricity, Heating, Water, Garbage) for 85m2 Apartment","h"
"user_38","1325473282.84887","2012-01-02 03:01:22","1","18","United Kindom","Edinburg","O2club","","Utilities (Monthly)","Internet (10 Mbps, Unlimited Data, Cable/ADSL)","bs"
"user_50","1325474672.37616","2012-01-02 03:24:32","1","12","United Kindom","Glasgow","coffee","Beer::Dipers::Milk::Bannas::Cheese","Utilities (Monthly)","Basic (Electricity, Heating, Water, Garbage) for 85m2 Apartment","bs::r"
"user_42","1325475855.66237","2012-01-02 03:44:15","1","22","United Kindom","Glasgow","Tesco","Beer::Dipers::Milk::Bannas::Cheese","Markets","Bottle of Wine (Mid-Range)","bs::r"
"user_27","1325476720.26433","2012-01-02 03:58:40","1","13","United Kindom","Glasgow","NSF Dentist","Mocca Coffee","Buy Apartment Price","Price per Square Meter to Buy Apartment in City Centre","bs::r"
"user_46","1325478173.73285","2012-01-02 04:22:53","1","14","United Kindom","Edinburg","check","","Utilities (Monthly)","Internet (10 Mbps, Unlimited Data, Cable/ADSL)","bs"
"user_17","1325479845.09934","2012-01-02 04:50:45","1","12","United Kindom","Glasgow","Train","Nachos::Sandwich::Bread::Juice::Beef meat","Buy Apartment Price","Price per Square Meter to Buy Apartment Outside of Centre","bs::r"
"user_47","1325481871.39087","2012-01-02 05:24:31","1","21","United Kindom","Glasgow","coffee","Mocca Coffee","Buy Apartment Price","Price per Square Meter to Buy Apartment Outside of Centre","bs::r"
"user_2","1325482717.25739","2012-01-02 05:38:37","1","13","United Kindom","Glasgow","Tesco","","Restaurants","Domestic Beer (0.5 liter draught)","bs"
"user_4","1325485526.35034","2012-01-02 06:25:26","1","8","United Kindom","Edinburg","drink","Cleaning","Sports And Leisure","Fitness Club, Monthly Fee for 1 Adult","r"
"user_50","1325487231.70506","2012-01-02 06:53:51","1","12","United Kindom","Glasgow","Tesco","Cleaning","Rent Per Month","Apartment (1 bedroom) in City Centre","bs::r"
"user_10","1325489942.53688","2012-01-02 07:39:02","1","20","United Kindom","Edinburg","Stabucks","Cleaning","Clothing And Shoes","1 Summer Dress in a Chain Store (Zara, H&M, ...)","bs::r"
"user_42","1325490444.82937","2012-01-02 07:47:24","1","15","United Kindom","Edinburg","Stabucks","","Restaurants","Meal for 2 People, Mid-range Restaurant, Three-course","bs"
"user_28","1325493216.45839","2012-01-02 08:33:36","1","11","United Kindom","Edinburg","Train","Mocca Coffee","Restaurants","McMeal at McDonalds (or Equivalent Combo Meal)","bs::r"
"user_17","1325494304.07527","2012-01-02 08:51:44","1","12","United Kindom","Edinburg","NSF Dentist","","Buy Apartment Price","Price per Square Meter to Buy Apartment in City Centre","bs"
"user_35","1325495874.48686","2012-01-02 09:17:54","1","16","United Kindom","Edinburg","Train","","Restaurants","Coke/Pepsi (0.33 liter bottle)","bs"
"user_38","1325496809.55647","2012-01-02 09:33:29","1","11","United Kindom","Edinburg","NSF Dentist","","Clothing And Shoes","1 Summer Dress in a Chain Store (Zara, H&M, ...)","bs"
"user_1","1325497233.01279","2012-01-02 09:40:33","1","18","United Kindom","Glasgow","drink","Beer::Dipers::Milk::Bannas::Cheese","Utilities (Monthly)","1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)","bs::r"
"user_17","1325500001.08223","2012-01-02 10:26:41","1","19","United Kindom","Glasgow","coffee","","Rent Per Month","Apartment (1 bedroom) in City Centre","bs"
"user_3","1325500053.5082","2012-01-02 10:27:33","1","17","United Kindom","Edinburg","Tesco","","Sports And Leisure","Tennis Court Rent (1 Hour on Weekend)","bs"
"user_38","1325502097.92625","2012-01-02 11:01:37","1","17","United Kindom","Glasgow","Tesco","","Utilities (Monthly)","Basic (Electricity, Heating, Water, Garbage) for 85m2 Apartment","bs"
"user_21","1325502980.82506","2012-01-02 11:16:20","1","17","United Kindom","Glasgow","Train","","Buy Apartment Price","Price per Square Meter to Buy Apartment in City Centre","bs"
"user_49","1325503816.18755","2012-01-02 11:30:16","1","20","United Kindom","Edinburg","Lidl","Beer::Dipers::Milk::Bannas::Cheese","Clothing And Shoes","1 Pair of Men Leather Business Shoes","r"
"user_2","1325504659.26466","2012-01-02 11:44:19","1","11","United Kindom","Glasgow","Tesco","","Salaries And Financing","Mortgage Interest Rate in Percentages (%)","bs"
"user_6","1325507178.22983","2012-01-02 12:26:18","1","19","United Kindom","Edinburg","Lidl","Beer::Dipers::Milk::Bannas::Cheese","Utilities (Monthly)","1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)","r"
"user_27","1325507866.91828","2012-01-02 12:37:46","1","13","United Kindom","Edinburg","Tesco","","Buy Apartment Price","Price per Square Meter to Buy Apartment Outside of Centre","bs"
"user_44","1325510399.33298","2012-01-02 13:19:59","1","19","United Kindom","Edinburg","coffee","","Clothing And Shoes","1 Pair of Jeans (Levis 501 Or Similar)","bs"
"user_37","1325512903.8498","2012-01-02 14:01:43","1","21","United Kindom","Edinburg","Stabucks","Mocca Coffee","Restaurants","Water (0.33 liter bottle)","bs::r"
"user_29","1325514950.63141","2012-01-02 14:35:50","1","11","United Kindom","Glasgow","NSF Dentist","Mocca Coffee","Utilities (Monthly)","Internet (10 Mbps, Unlimited Data, Cable/ADSL)","bs::r"
"user_46","1325516892.73435","2012-01-02 15:08:12","1","13","United Kindom","Glasgow","Tesco","Cleaning","Buy Apartment Price","Price per Square Meter to Buy Apartment in City Centre","bs::r"
"user_17","1325518124.75309","2012-01-02 15:28:44","1","16","United Kindom","Glasgow","Adil","","Clothing And Shoes","1 Pair of Nike Running Shoes (Mid-Range)","bs"
"user_12","1325520265.29847","2012-01-02 16:04:25","1","11","United Kindom","Edinburg","drink","","Rent Per Month","Apartment (3 bedrooms) Outside of Centre","bs"
"user_43","1325522829.69367","2012-01-02 16:47:09","1","18","United Kindom","Edinburg","Adil","Cleaning","Markets","Tomato (1kg)","r"
"user_31","1325523116.10986","2012-01-02 16:51:56","1","13","United Kindom","Glasgow","Lidl","Nachos::Sandwich::Bread::Juice::Beef meat","Restaurants","Imported Beer (0.33 liter bottle)","bs::r"
"user_42","1325524943.73921","2012-01-02 17:22:23","1","11","United Kindom","Glasgow","coffee","","Clothing And Shoes","1 Summer Dress in a Chain Store (Zara, H&M, ...)","bs"
"user_29","1325527012.57804","2012-01-02 17:56:52","1","12","United Kindom","Edinburg","Tesco","Beer::Dipers::Milk::Bannas::Cheese","Salaries And Financing","Mortgage Interest Rate in Percentages (%)","bs::r"
"user_17","1325528068.51797","2012-01-02 18:14:28","1","7","United Kindom","Glasgow","Lidl","Nachos::Sandwich::Bread::Juice::Beef meat","Salaries And Financing","Mortgage Interest Rate in Percentages (%)","bs::r"
"user_38","1325530212.09308","2012-01-02 18:50:12","1","14","United Kindom","Glasgow","coffee","","Clothing And Shoes","1 Pair of Nike Running Shoes (Mid-Range)","bs"
"user_19","1325532709.70516","2012-01-02 19:31:49","1","21","United Kindom","Glasgow","check","","Clothing And Shoes","1 Pair of Nike Running Shoes (Mid-Range)","bs"
"user_42","1325532802.27434","2012-01-02 19:33:22","1","12","United Kindom","Glasgow","NSF Dentist","","Utilities (Monthly)","Internet (10 Mbps, Unlimited Data, Cable/ADSL)","bs"
"user_38","1325533211.00912","2012-01-02 19:40:11","1","10","United Kindom","Glasgow","coffee","Cleaning","Sports And Leisure","Fitness Club, Monthly Fee for 1 Adult","bs::r"
"user_47","1325536013.31724","2012-01-02 20:26:53","1","26","United Kindom","Edinburg","Lidl","Cleaning","Clothing And Shoes","1 Summer Dress in a Chain Store (Zara, H&M, ...)","h"
"user_24","1325536117.68881","2012-01-02 20:28:37","1","26","United Kindom","Edinburg","Adil","Cleaning","Markets","Banana (1kg)","bs::r"
"user_20","1325538992.96444","2012-01-02 21:16:32","1","16","United Kindom","Glasgow","Tesco","Mocca Coffee","Restaurants","Imported Beer (0.33 liter bottle)","bs::r"
"user_44","1325539931.74546","2012-01-02 21:32:11","1","14","United Kindom","Glasgow","Tesco","","Restaurants","Domestic Beer (0.5 liter draught)","bs"
"user_31","1325540856.31474","2012-01-02 21:47:36","1","23","United Kindom","Glasgow","Stabucks","Nachos::Sandwich::Bread::Juice::Beef meat","Rent Per Month","Apartment (1 bedroom) in City Centre","bs::r"
"user_40","1325542775.35828","2012-01-02 22:19:35","1","8","United Kindom","Edinburg","Stabucks","Mocca Coffee","Salaries And Financing","Average Monthly Disposable Salary (Net After Tax)","r"
"user_41","1325545396.94345","2012-01-02 23:03:16","1","13","United Kindom","Glasgow","Stabucks","Nachos::Sandwich::Bread::Juice::Beef meat","Rent Per Month","Apartment (3 bedrooms) in City Centre","bs::r"
"user_24","1325547505.1915","2012-01-02 23:38:25","1","16","United Kindom","Edinburg","O2club","Mocca Coffee","Markets","Chicken Breasts (Boneless, Skinless), (1kg)","r"
"user_31","1325552635.50368","2012-01-03 01:03:55","1","15","United Kindom","Glasgow","coffee","Mocca Coffee","Clothing And Shoes","1 Pair of Jeans (Levis 501 Or Similar)","bs::r"
"user_6","1325553191.46742","2012-01-03 01:13:11","1","21","United Kindom","Edinburg","NSF Dentist","Mocca Coffee","Markets","Tomato (1kg)","bs::r"
"user_9","1325554330.30825","2012-01-03 01:32:10","1","10","United Kindom","Edinburg","coffee","Nachos::Sandwich::Bread::Juice::Beef meat","Utilities (Monthly)","1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans)","bs::r"
"user_29","1325557089.57127","2012-01-03 02:18:09","1","10","United Kindom","Edinburg","NSF Dentist","Nachos::Sandwich::Bread::Juice::Beef meat","Clothing And Shoes","1 Summer Dress in a Chain Store (Zara, H&M, ...)","h"
"user_8","1325560006.68572","2012-01-03 03:06:46","1","17","United Kindom","Edinburg","Adil","Cleaning","Sports And Leisure","Fitness Club, Monthly Fee for 1 Adult","bs::r"
"user_34","1325561204.60265","2012-01-03 03:26:44","1","20","United Kindom","Glasgow","Train","","Buy Apartment Price","Price per Square Meter to Buy Apartment Outside of Centre","bs"
"user_20","1325561435.77981","2012-01-03 03:30:35","1","16","United Kindom","Edinburg","O2club","Beer::Dipers::Milk::Bannas::Cheese","Buy Apartment Price","Price per Square Meter to Buy Apartment Outside of Centre","h"
"user_38","1325563059.57785","2012-01-03 03:57:39","1","13","United Kindom","Edinburg","drink","","Sports And Leisure","Cinema, International Release, 1 Seat","bs"
"user_42","1325565244.93486","2012-01-03 04:34:04","1","20","United Kindom","Edinburg","Tesco","Nachos::Sandwich::Bread::Juice::Beef meat","Clothing And Shoes","1 Pair of Nike Running Shoes (Mid-Range)","bs::r"
"user_17","1325567864.49807","2012-01-03 05:17:44","1","18","United Kindom","Glasgow","Stabucks","","Buy Apartment Price","Price per Square Meter to Buy Apartment in City Centre","bs"
"user_12","1325570696.78102","2012-01-03 06:04:56","1","22","United Kindom","Glasgow","Stabucks","Nachos::Sandwich::Bread::Juice::Beef meat","Clothing And Shoes","1 Pair of Nike Running Shoes (Mid-Range)","h"
"user_42","1325571549.68972","2012-01-03 06:19:09","1","11","United Kindom","Edinburg","NSF Dentist","Mocca Coffee","Salaries And Financing","Average Monthly Disposable Salary (Net After Tax)","bs::r"
"user_8","1325574091.28795","2012-01-03 07:01:31","1","15","United Kindom","Glasgow","O2club","Nachos::Sandwich::Bread::Juice::Beef meat","Sports And Leisure","Cinema, International Release, 1 Seat","h"
"user_11","1325576934.37993","2012-01-03 07:48:54","1","9","United Kindom","Glasgow","Adil","Beer::Dipers::Milk::Bannas::Cheese","Clothing And Shoes","1 Summer Dress in a Chain Store (Zara, H&M, ...)","h"
"user_1","1325578351.19346","2012-01-03 08:12:31","1","20","United Kindom","Edinburg","Train","Cleaning","Buy Apartment Price","Price per Square Meter to Buy Apartment in City Centre","bs::r"
"user_22","1325580919.21263","2012-01-03 08:55:19","1","18","United Kindom","Glasgow","coffee","Cleaning","Salaries And Financing","Mortgage Interest Rate in Percentages (%)","bs::r"
"user_33","1325581183.1346","2012-01-03 08:59:43","1","14","United Kindom","Edinburg","Tesco","","Sports And Leisure","Fitness Club, Monthly Fee for 1 Adult","bs"
